u v
8.916419000625800395e-01 0.000000000000000000e+00
8.897795591182363628e-01 2.000048411940708471e-03
8.897758766825009102e-01 2.004008016032063962e-03
8.879151253041434044e-01 4.008016032064127925e-03
8.877755511022042967e-01 4.158142312735775732e-03
8.860541357895169723e-01 6.012024048096191453e-03
8.857715430861722306e-01 6.315948563336564944e-03
8.841927542304846011e-01 8.016032064128255849e-03
8.837675350701401644e-01 8.473299786987400703e-03
8.823309819490148254e-01 1.002004008016032024e-02
8.817635270541082093e-01 1.063019723893702737e-02
8.804688202732424696e-01 1.202404809619238291e-02
8.797595190380760322e-01 1.278664217424391354e-02
8.786062705376139759e-01 1.402805611222444730e-02
8.777555110220439660e-01 1.494263584782053525e-02
8.767433340830377286e-01 1.603206412825651170e-02
8.757515030060118999e-01 1.709817951447716033e-02
8.748800122570341564e-01 1.803607214428857436e-02
8.737474949899798338e-01 1.925327442896841018e-02
8.730163064138922735e-01 2.004008016032064049e-02
8.717434869739478787e-01 2.140792184603862447e-02
8.711522179148278866e-01 2.204408817635270315e-02
8.697394789579158125e-01 2.356212302046805165e-02
8.692877481281424679e-01 2.404809619238476581e-02
8.677354709418836354e-01 2.571587920712077938e-02
8.674228984293914646e-01 2.605210420841683194e-02
8.657314629258516803e-01 2.786919166099147138e-02
8.655576702015481683e-01 2.805611222444889460e-02
8.637274549098196141e-01 3.002206163725535185e-02
8.636920648351793517e-01 3.006012024048096073e-02
8.618305376303498910e-01 3.206412825651302340e-02
8.617234468937875480e-01 3.217935816867818072e-02
8.599701453532194728e-01 3.406813627254508953e-02
8.597194388777553709e-01 3.433786560868016396e-02
8.581093522272583707e-01 3.607214428857714872e-02
8.577154308617234157e-01 3.649590544420287797e-02
8.562481597312152637e-01 3.807615230460921485e-02
8.557114228456913496e-01 3.865347906298749470e-02
8.543865693517089799e-01 4.008016032064128098e-02
8.537074148296592835e-01 4.081058785323057186e-02
8.525245825834166791e-01 4.208416833667333323e-02
8.517034068136272174e-01 4.296723320364689847e-02
8.506622009292672537e-01 4.408817635270540630e-02
8.496993987975951512e-01 4.512341650353629552e-02
8.487994259006388376e-01 4.609218436873747243e-02
8.476953907815630851e-01 4.727913914284975760e-02
8.469362590175602001e-01 4.809619238476953162e-02
8.456913827655310190e-01 4.943440251225720422e-02
8.450727018089161380e-01 5.010020040080159776e-02
8.436873747494989528e-01 5.158920800321556421e-02
8.432087558126568627e-01 5.210420841683366389e-02
8.416833667334668867e-01 5.374355700803985780e-02
8.413444225760146056e-01 5.410821643286573002e-02
8.396793587174348206e-01 5.589745091997239818e-02
8.394797036557201109e-01 5.611222444889778921e-02
8.376753507014027544e-01 5.805089113325732908e-02
8.376146006182305648e-01 5.811623246492985534e-02
8.357525949671782417e-01 6.012024048096191453e-02
8.356713426853706883e-01 6.020770747201803497e-02
8.338928994799735817e-01 6.212424849699398066e-02
8.336673346693386222e-01 6.236703523664200582e-02
8.320327947184016359e-01 6.412825651302604679e-02
8.316633266533066671e-01 6.452588283758643739e-02
8.301722823523026706e-01 6.613226452905811292e-02
8.296593186372744899e-01 6.668425182473719515e-02
8.283113640617060236e-01 6.813627254509017905e-02
8.276553106212424238e-01 6.884214374947339454e-02
8.264500415370804598e-01 7.014028056112225906e-02
8.256513026052103577e-01 7.099956016476395571e-02
8.245883164795888565e-01 7.214428857715429744e-02
8.236472945891782915e-01 7.315650262526504632e-02
8.227261906013499937e-01 7.414829659318636357e-02
8.216432865731462254e-01 7.531297268741957152e-02
8.208636656257051190e-01 7.615230460921842970e-02
8.196392785571141593e-01 7.746897190955853718e-02
8.190007432874907289e-01 7.815631262525049583e-02
8.176352705410820931e-01 7.962450185200434238e-02
8.171374253333179016e-01 8.016032064128256196e-02
8.156312625250500270e-01 8.177956407717647258e-02
8.152737135218590669e-01 8.216432865731462809e-02
